species,region,quantity,year,mean,lower,upper,region_type
EPFU,Arkansas,delta_avg_3year,NA,0.0129,-0.0798,0.1118,admin1
EPFU,Arkansas,delta_tot_3year,NA,0.0118,-0.2505,0.3224,admin1
EPFU,Ohio,psi_bar_t,2016,0.3831,0.3298,0.4374,admin1
EPFU,Ohio,psi_bar_t,2017,0.4779,0.4295,0.5269,admin1
EPFU,Ohio,psi_bar_t,2018,0.5131,0.4329,0.6155,admin1
EPFU,Ohio,psi_bar_t,2019,0.3529,0.3062,0.4017,admin1
EPFU,Ohio,delta_bar_t,2017,0.2540,0.0630,0.4932,admin1
EPFU,Ohio,delta_bar_t,2018,0.0765,-0.1189,0.3369,admin1
EPFU,Ohio,delta_bar_t,2019,-0.3067,-0.4483,-0.1352,admin1
EPFU,Ohio,delta_avg_3year,NA,0.0079,-0.0637,0.0793,admin1
EPFU,Ohio,delta_tot_3year,NA,-0.0741,-0.2454,0.1084,admin1
EPFU,Wyoming,psi_bar_t,2016,0.4716,0.3876,0.5698,admin1
EPFU,Wyoming,psi_bar_t,2017,0.6169,0.5222,0.7022,admin1
EPFU,Wyoming,psi_bar_t,2018,0.5671,0.4787,0.6568,admin1
EPFU,Wyoming,psi_bar_t,2019,0.5898,0.4938,0.6875,admin1
EPFU,Wyoming,delta_bar_t,2017,0.3208,0.0117,0.6686,admin1
EPFU,Wyoming,delta_bar_t,2018,-0.0750,-0.2598,0.1404,admin1
EPFU,Wyoming,delta_bar_t,2019,0.0465,-0.1681,0.2931,admin1
EPFU,Wyoming,delta_avg_3year,NA,0.0974,-0.0013,0.2083,admin1
EPFU,Wyoming,delta_tot_3year,NA,0.2626,-0.0267,0.6249,admin1
EPFU,Alabama,psi_bar_t,2016,0.4991,0.4104,0.5910,admin1
EPFU,Alabama,psi_bar_t,2017,0.4654,0.4022,0.5355,admin1
EPFU,Alabama,psi_bar_t,2018,0.4317,0.3630,0.4987,admin1
EPFU,Alabama,psi_bar_t,2019,0.4830,0.3794,0.5718,admin1
EPFU,Alabama,delta_bar_t,2017,-0.0591,-0.2473,0.1937,admin1
EPFU,Alabama,delta_bar_t,2018,-0.0672,-0.2579,0.1433,admin1
EPFU,Alabama,delta_bar_t,2019,0.1255,-0.1375,0.4188,admin1
EPFU,Alabama,delta_avg_3year,NA,-0.0003,-0.0974,0.0997,admin1
EPFU,Alabama,delta_tot_3year,NA,-0.0226,-0.2801,0.2747,admin1
EPFU,Arizona,psi_bar_t,2016,0.6460,0.4948,0.7902,admin1
EPFU,Arizona,psi_bar_t,2017,0.6996,0.5729,0.8305,admin1
EPFU,Arizona,psi_bar_t,2018,0.6789,0.5846,0.7907,admin1
EPFU,Arizona,psi_bar_t,2019,0.6854,0.5929,0.7940,admin1
EPFU,Arizona,delta_bar_t,2017,0.0994,-0.1901,0.5116,admin1
EPFU,Arizona,delta_bar_t,2018,-0.0202,-0.2331,0.2356,admin1
EPFU,Arizona,delta_bar_t,2019,0.0159,-0.1898,0.2500,admin1
EPFU,Arizona,delta_avg_3year,NA,0.0317,-0.0595,0.1516,admin1
EPFU,Arizona,delta_tot_3year,NA,0.0770,-0.1865,0.4368,admin1
EPFU,Louisiana,psi_bar_t,2016,0.3890,0.2759,0.4955,admin1
EPFU,Louisiana,psi_bar_t,2017,0.4095,0.3097,0.5153,admin1
EPFU,Louisiana,psi_bar_t,2018,0.2934,0.2051,0.3907,admin1
EPFU,Louisiana,psi_bar_t,2019,0.3784,0.2662,0.5025,admin1
EPFU,Louisiana,delta_bar_t,2017,0.0748,-0.2701,0.5504,admin1
EPFU,Louisiana,delta_bar_t,2018,-0.2720,-0.5159,0.0489,admin1
EPFU,Louisiana,delta_bar_t,2019,0.3252,-0.1766,1.0067,admin1
EPFU,Louisiana,delta_avg_3year,NA,0.0427,-0.1235,0.2607,admin1
EPFU,Louisiana,delta_tot_3year,NA,-0.0070,-0.3640,0.4832,admin1
EPFU,Nevada,psi_bar_t,2016,0.5570,0.4389,0.6797,admin1
EPFU,Nevada,psi_bar_t,2017,0.7263,0.6057,0.8296,admin1
EPFU,Nevada,psi_bar_t,2018,0.7119,0.5980,0.8093,admin1
EPFU,Nevada,psi_bar_t,2019,0.7319,0.6197,0.8269,admin1
EPFU,Nevada,delta_bar_t,2017,0.3219,-0.0097,0.7345,admin1
EPFU,Nevada,delta_bar_t,2018,-0.0136,-0.2060,0.2218,admin1
EPFU,Nevada,delta_bar_t,2019,0.0340,-0.1571,0.2704,admin1
EPFU,Nevada,delta_avg_3year,NA,0.1141,0.0099,0.2352,admin1
EPFU,Nevada,delta_tot_3year,NA,0.3319,0.0099,0.7072,admin1
EPFU,Iowa,psi_bar_t,2016,0.6669,0.3442,0.8296,admin1
EPFU,Iowa,psi_bar_t,2017,0.6367,0.5283,0.7402,admin1
EPFU,Iowa,psi_bar_t,2018,0.4719,0.3825,0.5601,admin1
EPFU,Iowa,psi_bar_t,2019,0.4179,0.3216,0.5241,admin1
EPFU,Iowa,delta_bar_t,2017,0.0042,-0.2856,0.9026,admin1
EPFU,Iowa,delta_bar_t,2018,-0.2536,-0.4259,-0.0553,admin1
EPFU,Iowa,delta_bar_t,2019,-0.1059,-0.3408,0.2141,admin1
EPFU,Iowa,delta_avg_3year,NA,-0.1184,-0.2410,0.1714,admin1
EPFU,Iowa,delta_tot_3year,NA,-0.3407,-0.5702,0.2578,admin1
EPFU,Wisconsin,psi_bar_t,2016,0.6532,0.5966,0.7097,admin1
EPFU,Wisconsin,psi_bar_t,2017,0.7797,0.7355,0.8208,admin1
EPFU,Wisconsin,psi_bar_t,2018,0.7342,0.6816,0.7819,admin1
EPFU,Wisconsin,psi_bar_t,2019,0.6630,0.6064,0.7195,admin1
EPFU,Wisconsin,delta_bar_t,2017,0.1961,0.0795,0.3275,admin1
EPFU,Wisconsin,delta_bar_t,2018,-0.0576,-0.1424,0.0286,admin1
EPFU,Wisconsin,delta_bar_t,2019,-0.0959,-0.1898,0.0083,admin1
EPFU,Wisconsin,delta_avg_3year,NA,0.0142,-0.0270,0.0589,admin1
EPFU,Wisconsin,delta_tot_3year,NA,0.0170,-0.1012,0.1427,admin1
EPFU,Idaho,psi_bar_t,2016,0.5257,0.4392,0.6103,admin1
EPFU,Idaho,psi_bar_t,2017,0.6665,0.5902,0.7437,admin1
EPFU,Idaho,psi_bar_t,2018,0.7000,0.6277,0.7717,admin1
EPFU,Idaho,psi_bar_t,2019,0.7143,0.6387,0.7883,admin1
EPFU,Idaho,delta_bar_t,2017,0.2767,0.0527,0.5789,admin1
EPFU,Idaho,delta_bar_t,2018,0.0538,-0.0975,0.2328,admin1
EPFU,Idaho,delta_bar_t,2019,0.0233,-0.1107,0.1812,admin1
EPFU,Idaho,delta_avg_3year,NA,0.1180,0.0450,0.2106,admin1
EPFU,Idaho,delta_tot_3year,NA,0.3681,0.1337,0.6664,admin1
EPFU,Nebraska,psi_bar_t,2016,0.6047,0.4880,0.7137,admin1
EPFU,Nebraska,psi_bar_t,2017,0.6735,0.5657,0.7715,admin1
EPFU,Nebraska,psi_bar_t,2018,0.4998,0.3695,0.6121,admin1
EPFU,Nebraska,psi_bar_t,2019,0.5222,0.4118,0.6489,admin1
EPFU,Nebraska,delta_bar_t,2017,0.1247,-0.1236,0.4081,admin1
EPFU,Nebraska,delta_bar_t,2018,-0.2534,-0.4682,-0.0270,admin1
EPFU,Nebraska,delta_bar_t,2019,0.0615,-0.2341,0.5077,admin1
EPFU,Nebraska,delta_avg_3year,NA,-0.0224,-0.1237,0.1036,admin1
EPFU,Nebraska,delta_tot_3year,NA,-0.1282,-0.3543,0.1753,admin1
EPFU,Michigan,psi_bar_t,2016,0.5609,0.4974,0.6281,admin1
EPFU,Michigan,psi_bar_t,2017,0.7171,0.6659,0.7677,admin1
EPFU,Michigan,psi_bar_t,2018,0.6594,0.5946,0.7232,admin1
EPFU,Michigan,psi_bar_t,2019,0.6149,0.5580,0.6717,admin1
EPFU,Michigan,delta_bar_t,2017,0.2828,0.1253,0.4590,admin1
EPFU,Michigan,delta_bar_t,2018,-0.0793,-0.1904,0.0329,admin1
EPFU,Michigan,delta_bar_t,2019,-0.0652,-0.1791,0.0665,admin1
EPFU,Michigan,delta_avg_3year,NA,0.0461,-0.0083,0.1066,admin1
EPFU,Michigan,delta_tot_3year,NA,0.0998,-0.0517,0.2688,admin1
EPFU,Mississippi,psi_bar_t,2016,0.3995,0.3114,0.4983,admin1
EPFU,Mississippi,psi_bar_t,2017,0.3623,0.2975,0.4322,admin1
EPFU,Mississippi,psi_bar_t,2018,0.2783,0.2138,0.3428,admin1
EPFU,Mississippi,psi_bar_t,2019,0.3807,0.2783,0.4745,admin1
EPFU,Mississippi,delta_bar_t,2017,-0.0794,-0.3209,0.2429,admin1
EPFU,Mississippi,delta_bar_t,2018,-0.2248,-0.4371,0.0196,admin1
EPFU,Mississippi,delta_bar_t,2019,0.3870,-0.0558,0.9263,admin1
EPFU,Mississippi,delta_avg_3year,NA,0.0276,-0.1110,0.2023,admin1
EPFU,Mississippi,delta_tot_3year,NA,-0.0319,-0.3510,0.3470,admin1
EPFU,North Dakota,psi_bar_t,2016,0.6206,0.4289,0.7664,admin1
EPFU,North Dakota,psi_bar_t,2017,0.6126,0.4782,0.7343,admin1
EPFU,North Dakota,psi_bar_t,2018,0.3638,0.2465,0.4868,admin1
EPFU,North Dakota,psi_bar_t,2019,0.3487,0.2237,0.4997,admin1
EPFU,North Dakota,delta_bar_t,2017,0.0090,-0.2795,0.4938,admin1
EPFU,North Dakota,delta_bar_t,2018,-0.3991,-0.6207,-0.1382,admin1
EPFU,North Dakota,delta_bar_t,2019,-0.0125,-0.4347,0.5982,admin1
EPFU,North Dakota,delta_avg_3year,NA,-0.1342,-0.2792,0.0710,admin1
EPFU,North Dakota,delta_tot_3year,NA,-0.4263,-0.6425,-0.0752,admin1
EPFU,Kentucky,psi_bar_t,2016,0.5690,0.4837,0.6616,admin1
EPFU,Kentucky,psi_bar_t,2017,0.5413,0.4795,0.6012,admin1
EPFU,Kentucky,psi_bar_t,2018,0.5118,0.4521,0.5771,admin1
EPFU,Kentucky,psi_bar_t,2019,0.5547,0.4815,0.6240,admin1
EPFU,Kentucky,delta_bar_t,2017,-0.0422,-0.2114,0.1601,admin1
EPFU,Kentucky,delta_bar_t,2018,-0.0512,-0.1930,0.1114,admin1
EPFU,Kentucky,delta_bar_t,2019,0.0879,-0.0993,0.2794,admin1
EPFU,Kentucky,delta_avg_3year,NA,-0.0018,-0.0743,0.0705,admin1
EPFU,Kentucky,delta_tot_3year,NA,-0.0180,-0.2197,0.2093,admin1
EPFU,New Mexico,psi_bar_t,2016,0.6610,0.5519,0.7555,admin1
EPFU,New Mexico,psi_bar_t,2017,0.7444,0.6473,0.8332,admin1
EPFU,New Mexico,psi_bar_t,2018,0.7302,0.6414,0.8120,admin1
EPFU,New Mexico,psi_bar_t,2019,0.7470,0.6633,0.8322,admin1
EPFU,New Mexico,delta_bar_t,2017,0.1336,-0.0616,0.3936,admin1
EPFU,New Mexico,delta_bar_t,2018,-0.0149,-0.1767,0.1707,admin1
EPFU,New Mexico,delta_bar_t,2019,0.0268,-0.1239,0.2130,admin1
EPFU,New Mexico,delta_avg_3year,NA,0.0485,-0.0199,0.1286,admin1
EPFU,New Mexico,delta_tot_3year,NA,0.1379,-0.0679,0.3855,admin1
EPFU,South Dakota,psi_bar_t,2016,0.6862,0.5430,0.7987,admin1
EPFU,South Dakota,psi_bar_t,2017,0.6964,0.5896,0.7936,admin1
EPFU,South Dakota,psi_bar_t,2018,0.4439,0.3273,0.5732,admin1
EPFU,South Dakota,psi_bar_t,2019,0.4405,0.3014,0.6167,admin1
EPFU,South Dakota,delta_bar_t,2017,0.0240,-0.1872,0.3072,admin1
EPFU,South Dakota,delta_bar_t,2018,-0.3588,-0.5397,-0.1409,admin1
EPFU,South Dakota,delta_bar_t,2019,0.0122,-0.3636,0.5770,admin1
EPFU,South Dakota,delta_avg_3year,NA,-0.1076,-0.2286,0.0605,admin1
EPFU,South Dakota,delta_tot_3year,NA,-0.3524,-0.5731,-0.0620,admin1
EPFU,Maine,psi_bar_t,2016,0.4151,0.3233,0.5169,admin1
EPFU,Maine,psi_bar_t,2017,0.4029,0.3032,0.5176,admin1
EPFU,Maine,psi_bar_t,2018,0.3893,0.2997,0.4958,admin1
EPFU,Maine,psi_bar_t,2019,0.2729,0.2105,0.3405,admin1
EPFU,Maine,delta_bar_t,2017,-0.0148,-0.3264,0.3727,admin1
EPFU,Maine,delta_bar_t,2018,-0.0147,-0.3264,0.4228,admin1
EPFU,Maine,delta_bar_t,2019,-0.2864,-0.5084,0.0146,admin1
EPFU,Maine,delta_avg_3year,NA,-0.1053,-0.2000,0.0086,admin1
EPFU,Maine,delta_tot_3year,NA,-0.3321,-0.5336,-0.0617,admin1
EPFU,California,psi_bar_t,2016,0.6109,0.4532,0.7421,admin1
EPFU,California,psi_bar_t,2017,0.7079,0.6024,0.8090,admin1
EPFU,California,psi_bar_t,2018,0.7016,0.6075,0.7892,admin1
EPFU,California,psi_bar_t,2019,0.6256,0.5227,0.7329,admin1
EPFU,California,delta_bar_t,2017,0.1776,-0.1091,0.5848,admin1
EPFU,California,delta_bar_t,2018,-0.0028,-0.1853,0.2217,admin1
EPFU,California,delta_bar_t,2019,-0.1045,-0.2810,0.1120,admin1
EPFU,California,delta_avg_3year,NA,0.0234,-0.0746,0.1498,admin1
EPFU,California,delta_tot_3year,NA,0.0407,-0.2284,0.4038,admin1
EPFU,Georgia,psi_bar_t,2016,0.4950,0.4168,0.5790,admin1
EPFU,Georgia,psi_bar_t,2017,0.4753,0.4152,0.5373,admin1
EPFU,Georgia,psi_bar_t,2018,0.3983,0.3293,0.4683,admin1
EPFU,Georgia,psi_bar_t,2019,0.4787,0.3781,0.5746,admin1
EPFU,Georgia,delta_bar_t,2017,-0.0327,-0.2134,0.2061,admin1
EPFU,Georgia,delta_bar_t,2018,-0.1582,-0.3292,0.0345,admin1
EPFU,Georgia,delta_bar_t,2019,0.2111,-0.0850,0.5485,admin1
EPFU,Georgia,delta_avg_3year,NA,0.0067,-0.0907,0.1110,admin1
EPFU,Georgia,delta_tot_3year,NA,-0.0255,-0.2635,0.2405,admin1
EPFU,Virginia,psi_bar_t,2016,0.5573,0.4903,0.6256,admin1
EPFU,Virginia,psi_bar_t,2017,0.5628,0.5150,0.6126,admin1
EPFU,Virginia,psi_bar_t,2018,0.5412,0.4833,0.6016,admin1
EPFU,Virginia,psi_bar_t,2019,0.5462,0.4626,0.6157,admin1
EPFU,Virginia,delta_bar_t,2017,0.0140,-0.1281,0.1735,admin1
EPFU,Virginia,delta_bar_t,2018,-0.0363,-0.1636,0.1091,admin1
EPFU,Virginia,delta_bar_t,2019,0.0123,-0.1609,0.1908,admin1
EPFU,Virginia,delta_avg_3year,NA,-0.0034,-0.0672,0.0611,admin1
EPFU,Virginia,delta_tot_3year,NA,-0.0157,-0.1924,0.1748,admin1
EPFU,Missouri,psi_bar_t,2016,0.6101,0.4843,0.7047,admin1
EPFU,Missouri,psi_bar_t,2017,0.6365,0.5662,0.6991,admin1
EPFU,Missouri,psi_bar_t,2018,0.6302,0.5584,0.6907,admin1
EPFU,Missouri,psi_bar_t,2019,0.5370,0.4448,0.6215,admin1
EPFU,Missouri,delta_bar_t,2017,0.0529,-0.1377,0.3469,admin1
EPFU,Missouri,delta_bar_t,2018,-0.0069,-0.1439,0.1502,admin1
EPFU,Missouri,delta_bar_t,2019,-0.1455,-0.3126,0.0337,admin1
EPFU,Missouri,delta_avg_3year,NA,-0.0332,-0.1077,0.0663,admin1
EPFU,Missouri,delta_tot_3year,NA,-0.1114,-0.3113,0.1638,admin1
EPFU,Pennsylvania,psi_bar_t,2016,0.6046,0.5216,0.6802,admin1
EPFU,Pennsylvania,psi_bar_t,2017,0.6042,0.5139,0.6839,admin1
EPFU,Pennsylvania,psi_bar_t,2018,0.6673,0.5895,0.7414,admin1
EPFU,Pennsylvania,psi_bar_t,2019,0.5314,0.4563,0.6023,admin1
EPFU,Pennsylvania,delta_bar_t,2017,0.0040,-0.1785,0.2249,admin1
EPFU,Pennsylvania,delta_bar_t,2018,0.1104,-0.0711,0.3379,admin1
EPFU,Pennsylvania,delta_bar_t,2019,-0.2010,-0.3287,-0.0495,admin1
EPFU,Pennsylvania,delta_avg_3year,NA,-0.0289,-0.0876,0.0396,admin1
EPFU,Pennsylvania,delta_tot_3year,NA,-0.1168,-0.2722,0.0754,admin1
EPFU,Illinois,psi_bar_t,2016,0.3982,0.3073,0.5010,admin1
EPFU,Illinois,psi_bar_t,2017,0.4046,0.3407,0.4718,admin1
EPFU,Illinois,psi_bar_t,2018,0.3684,0.2936,0.4534,admin1
EPFU,Illinois,psi_bar_t,2019,0.3738,0.3066,0.4496,admin1
EPFU,Illinois,delta_bar_t,2017,0.0327,-0.2415,0.3923,admin1
EPFU,Illinois,delta_bar_t,2018,-0.0829,-0.3158,0.1790,admin1
EPFU,Illinois,delta_bar_t,2019,0.0272,-0.2387,0.3624,admin1
EPFU,Illinois,delta_avg_3year,NA,-0.0076,-0.1134,0.1152,admin1
EPFU,Illinois,delta_tot_3year,NA,-0.0452,-0.3174,0.2926,admin1
EPFU,Washington,psi_bar_t,2016,0.5103,0.4373,0.5875,admin1
EPFU,Washington,psi_bar_t,2017,0.6319,0.5536,0.7060,admin1
EPFU,Washington,psi_bar_t,2018,0.6682,0.5968,0.7403,admin1
EPFU,Washington,psi_bar_t,2019,0.6738,0.6011,0.7420,admin1
EPFU,Washington,delta_bar_t,2017,0.2453,0.0292,0.5004,admin1
EPFU,Washington,delta_bar_t,2018,0.0618,-0.1040,0.2565,admin1
EPFU,Washington,delta_bar_t,2019,0.0115,-0.1314,0.1758,admin1
EPFU,Washington,delta_avg_3year,NA,0.1062,0.0387,0.1820,admin1
EPFU,Washington,delta_tot_3year,NA,0.3282,0.1083,0.5938,admin1
EPFU,Utah,psi_bar_t,2016,0.5738,0.4660,0.6786,admin1
EPFU,Utah,psi_bar_t,2017,0.7454,0.6440,0.8296,admin1
EPFU,Utah,psi_bar_t,2018,0.7500,0.6554,0.8353,admin1
EPFU,Utah,psi_bar_t,2019,0.7672,0.6814,0.8486,admin1
EPFU,Utah,delta_bar_t,2017,0.3111,0.0495,0.6457,admin1
EPFU,Utah,delta_bar_t,2018,0.0106,-0.1531,0.2036,admin1
EPFU,Utah,delta_bar_t,2019,0.0267,-0.1299,0.2068,admin1
EPFU,Utah,delta_avg_3year,NA,0.1161,0.0366,0.2179,admin1
EPFU,Utah,delta_tot_3year,NA,0.3496,0.0814,0.6804,admin1
EPFU,Minnesota,psi_bar_t,2016,0.5982,0.4627,0.6921,admin1
EPFU,Minnesota,psi_bar_t,2017,0.6986,0.6272,0.7632,admin1
EPFU,Minnesota,psi_bar_t,2018,0.5838,0.5161,0.6514,admin1
EPFU,Minnesota,psi_bar_t,2019,0.5579,0.4945,0.6273,admin1
EPFU,Minnesota,delta_bar_t,2017,0.1800,-0.0302,0.5213,admin1
EPFU,Minnesota,delta_bar_t,2018,-0.1622,-0.2805,-0.0238,admin1
EPFU,Minnesota,delta_bar_t,2019,-0.0411,-0.1955,0.1300,admin1
EPFU,Minnesota,delta_avg_3year,NA,-0.0078,-0.0787,0.1105,admin1
EPFU,Minnesota,delta_tot_3year,NA,-0.0576,-0.2350,0.2299,admin1
EPFU,Texas,psi_bar_t,2016,0.5157,0.3798,0.6430,admin1
EPFU,Texas,psi_bar_t,2017,0.5385,0.4180,0.6544,admin1
EPFU,Texas,psi_bar_t,2018,0.4754,0.3477,0.5971,admin1
EPFU,Texas,psi_bar_t,2019,0.5622,0.4436,0.6835,admin1
EPFU,Texas,delta_bar_t,2017,0.0625,-0.2383,0.4891,admin1
EPFU,Texas,delta_bar_t,2018,-0.1061,-0.3806,0.2240,admin1
EPFU,Texas,delta_bar_t,2019,0.2040,-0.1537,0.7039,admin1
EPFU,Texas,delta_avg_3year,NA,0.0535,-0.0699,0.2134,admin1
EPFU,Texas,delta_tot_3year,NA,0.1103,-0.2203,0.5741,admin1
EPFU,Indiana,psi_bar_t,2016,0.3310,0.2776,0.3847,admin1
EPFU,Indiana,psi_bar_t,2017,0.3761,0.3307,0.4287,admin1
EPFU,Indiana,psi_bar_t,2018,0.3588,0.2766,0.4760,admin1
EPFU,Indiana,psi_bar_t,2019,0.3041,0.2555,0.3572,admin1
EPFU,Indiana,delta_bar_t,2017,0.1448,-0.0738,0.4077,admin1
EPFU,Indiana,delta_bar_t,2018,-0.0420,-0.2920,0.2860,admin1
EPFU,Indiana,delta_bar_t,2019,-0.1356,-0.3944,0.1578,admin1
EPFU,Indiana,delta_avg_3year,NA,-0.0109,-0.0906,0.0784,admin1
EPFU,Indiana,delta_tot_3year,NA,-0.0743,-0.2762,0.1533,admin1
EPFU,North Carolina,psi_bar_t,2016,0.4906,0.4246,0.5608,admin1
EPFU,North Carolina,psi_bar_t,2017,0.5059,0.4507,0.5623,admin1
EPFU,North Carolina,psi_bar_t,2018,0.4258,0.3658,0.4874,admin1
EPFU,North Carolina,psi_bar_t,2019,0.4790,0.3943,0.5576,admin1
EPFU,North Carolina,delta_bar_t,2017,0.0364,-0.1220,0.2285,admin1
EPFU,North Carolina,delta_bar_t,2018,-0.1557,-0.2970,0.0083,admin1
EPFU,North Carolina,delta_bar_t,2019,0.1307,-0.1098,0.3873,admin1
EPFU,North Carolina,delta_avg_3year,NA,0.0038,-0.0752,0.0893,admin1
EPFU,North Carolina,delta_tot_3year,NA,-0.0187,-0.2193,0.1988,admin1
EPFU,Oregon,psi_bar_t,2016,0.5817,0.5071,0.6489,admin1
EPFU,Oregon,psi_bar_t,2017,0.6958,0.6345,0.7562,admin1
EPFU,Oregon,psi_bar_t,2018,0.7290,0.6660,0.7903,admin1
EPFU,Oregon,psi_bar_t,2019,0.7358,0.6719,0.7965,admin1
EPFU,Oregon,delta_bar_t,2017,0.2005,0.0420,0.3967,admin1
EPFU,Oregon,delta_bar_t,2018,0.0501,-0.0755,0.1919,admin1
EPFU,Oregon,delta_bar_t,2019,0.0111,-0.1048,0.1319,admin1
EPFU,Oregon,delta_avg_3year,NA,0.0873,0.0365,0.1477,admin1
EPFU,Oregon,delta_tot_3year,NA,0.2696,0.1032,0.4789,admin1
EPFU,South Carolina,psi_bar_t,2016,0.4904,0.4160,0.5698,admin1
EPFU,South Carolina,psi_bar_t,2017,0.4948,0.4349,0.5543,admin1
EPFU,South Carolina,psi_bar_t,2018,0.3734,0.3045,0.4392,admin1
EPFU,South Carolina,psi_bar_t,2019,0.4760,0.3793,0.5741,admin1
EPFU,South Carolina,delta_bar_t,2017,0.0154,-0.1710,0.2391,admin1
EPFU,South Carolina,delta_bar_t,2018,-0.2422,-0.3949,-0.0674,admin1
EPFU,South Carolina,delta_bar_t,2019,0.2853,-0.0233,0.6512,admin1
EPFU,South Carolina,delta_avg_3year,NA,0.0195,-0.0798,0.1323,admin1
EPFU,South Carolina,delta_tot_3year,NA,-0.0231,-0.2412,0.2302,admin1
EPFU,New York,psi_bar_t,2016,0.6020,0.5100,0.6902,admin1
EPFU,New York,psi_bar_t,2017,0.6000,0.5046,0.6925,admin1
EPFU,New York,psi_bar_t,2018,0.5843,0.5015,0.6670,admin1
EPFU,New York,psi_bar_t,2019,0.4643,0.3792,0.5450,admin1
EPFU,New York,delta_bar_t,2017,0.0025,-0.2036,0.2321,admin1
EPFU,New York,delta_bar_t,2018,-0.0196,-0.2097,0.2170,admin1
EPFU,New York,delta_bar_t,2019,-0.2009,-0.3694,-0.0093,admin1
EPFU,New York,delta_avg_3year,NA,-0.0727,-0.1399,-0.0036,admin1
EPFU,New York,delta_tot_3year,NA,-0.2240,-0.3961,-0.0351,admin1
EPFU,Florida,psi_bar_t,2016,0.3413,0.2541,0.4588,admin1
EPFU,Florida,psi_bar_t,2017,0.4378,0.3348,0.5608,admin1
EPFU,Florida,psi_bar_t,2018,0.2732,0.1896,0.3981,admin1
EPFU,Florida,psi_bar_t,2019,0.3416,0.2483,0.5826,admin1
EPFU,Florida,delta_bar_t,2017,0.3129,-0.1338,0.9100,admin1
EPFU,Florida,delta_bar_t,2018,-0.3660,-0.5944,-0.0375,admin1
